Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,308711,b'Federal',43.8129,-124.811,0,-8,50241.793,-,s,deg,s,deg,s,W/m,s,m,-,439,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,1,1,0,0,4.244170188903809,8.7298002243042
2010,1,1,3,0,3.967829942703247,9.101499557495117
2010,1,1,6,0,3.8479599952697754,9.180999755859375
2010,1,1,9,0,3.957129955291748,9.159199714660645
2010,1,1,12,0,3.783560037612915,9.314299583435059
2010,1,1,15,0,4.277359962463379,9.068499565124512
2010,1,1,18,0,5.620870113372803,10.273200035095215
2010,1,1,21,0,6.127900123596191,11.821700096130371
2010,1,2,0,0,5.965089797973633,12.387900352478027
2010,1,2,3,0,5.563000202178955,12.644100189208984
2010,1,2,6,0,5.154119968414307,12.607500076293945
2010,1,2,9,0,4.736889839172363,12.503299713134766
2010,1,2,12,0,4.391469955444336,12.270299911499023
2010,1,2,15,0,4.06564998626709,12.098400115966797
2010,1,2,18,0,3.760580062866211,11.847399711608887
2010,1,2,21,0,3.470599889755249,11.531299591064453
2010,1,3,0,0,3.210059881210327,11.226900100708008
2010,1,3,3,0,2.9644598960876465,10.951199531555176
2010,1,3,6,0,2.711869955062866,10.652299880981445
2010,1,3,9,0,2.4731500148773193,10.35509967803955
2010,1,3,12,0,2.254189968109131,10.116100311279297
2010,1,3,15,0,2.0734798908233643,9.65369987487793
2010,1,3,18,0,1.92330002784729,9.332900047302246
2010,1,3,21,0,1.7927900552749634,9.359100341796875
2010,1,4,0,0,1.6796400547027588,9.490400314331055
2010,1,4,3,0,1.6280699968338013,9.70110034942627
2010,1,4,6,0,1.6899800300598145,9.531499862670898
2010,1,4,9,0,1.9020500183105469,8.777700424194336
2010,1,4,12,0,2.5929300785064697,7.739500045776367
2010,1,4,15,0,3.1001999378204346,8.399299621582031
2010,1,4,18,0,4.0980401039123535,8.771200180053711
2010,1,4,21,0,4.315340042114258,9.093999862670898
2010,1,5,0,0,3.955280065536499,8.943499565124512
2010,1,5,3,0,3.4883100986480713,8.803099632263184
2010,1,5,6,0,3.239759922027588,8.572799682617188
2010,1,5,9,0,2.852979898452759,8.479999542236328
2010,1,5,12,0,2.633780002593994,8.197099685668945
2010,1,5,15,0,2.4995899200439453,7.966899871826172
2010,1,5,18,0,2.4119200706481934,7.815700054168701
2010,1,5,21,0,2.2378299236297607,7.92579984664917
2010,1,6,0,0,2.1780200004577637,7.780799865722656
2010,1,6,3,0,2.3190701007843018,7.496399879455566
2010,1,6,6,0,2.4481000900268555,7.429999828338623
2010,1,6,9,0,2.242690086364746,7.762899875640869
2010,1,6,12,0,2.12637996673584,8.164600372314453
2010,1,6,15,0,2.038480043411255,9.18529987335205
2010,1,6,18,0,2.135430097579956,9.975199699401855
2010,1,6,21,0,2.2613399028778076,10.40060043334961
2010,1,7,0,0,2.308880090713501,10.595100402832031
